"Continent","Android","Win7","Unknown","Nokia Unknown","WinXP","Series 40","Win8.1","Win10","Samsung","iOS","Windows Phone","Win8","OS X","WinVista","Chrome OS","BlackBerry OS","SymbianOS","Linux","Win98","LG","Firefox OS","Sony Ericsson","Win2003","Playstation"
Fiji ,35.69,22.02,8.72,0,1.75,0,7.33,7.6,0,5.88,2.74,2.67,3.15,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,7.9,21.08,0,0,1.54,0,5.42,25.8,0,23.68,0,0,8.99,1.48,0,0,0,0,0,0,0,0,0,0
Chad ,75.34,1.68,5.77,2.88,0,2.09,0,0,0,1.04,0,0,0,0,0,0,0,5.64,0,1.62,0,0,0,0
Turkmenistan ,56.37,15.58,2.27,0,1.47,0,2.24,1.26,0,16.55,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,49.74,15.18,3.74,1.53,4.24,5.62,2.59,2.23,1.95,4.62,0,0,0,0,0,0,3.38,1.6,0,0,0,0,0,0
Antigua and Barbuda ,23.16,15.83,2.66,0,4.55,0,6.57,6.61,0,12.56,4.27,4.73,8.67,1.93,0,2.96,0,3.39,0,0,0,0,0,0
Aruba ,23.76,21.89,2.35,0,2.24,0,4.9,11.72,0,21.64,0,1.19,7.15,1.05,0,0,0,0,0,0,0,0,0,0
Bhutan ,41.49,18.85,7.06,5.03,2.01,7.13,2.79,2.78,0,4.3,2.08,1.67,1.69,0,0,0,0,1.16,0,0,0,0,0,0
 ,75,100,2.37,0,3.55,0,8.31,24.45,0,8.37,1.32,100,18.7,1.22,0,1.15,0,1.96,0,0,0,0,0,0
Burundi ,46.13,6.48,31.8,1.47,0,2.92,0,0,0,0,1.41,0,0,0,0,0,0,2.94,0,0,0,0,0,0
Guam ,16.13,16.51,2.12,0,1.51,0,7.15,11.98,0,28.32,0,0,11.99,1.13,0,0,0,0,0,0,0,0,0,0
Liberia ,55.53,10.95,7.87,3.31,0,3.24,5.14,2.87,0,3.13,1.27,1.92,0,0,0,0,0,2.06,0,0,0,0,0,0
Sierra Leone ,40.74,8.35,18.86,2.48,0,11.18,2.87,2.85,0,2.01,0,1.56,0,0,0,0,0,4.04,0,0,0,0,0,0
Guadeloupe ,18.46,17.83,2.93,0,2.78,0,12.1,17.31,0,9.28,0,2.62,13.22,1.19,0,0,0,1.24,0,0,0,0,0,0
Jersey ,10.23,18.48,0,0,1.13,0,6.58,11.93,0,31.9,0,0,14.97,0,0,0,0,0,0,0,0,0,0,0
Belize ,31.21,20.5,4.3,0,1.73,0,11.37,10.2,0,9.87,0,1.86,4.61,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,45.11,19.03,7.35,3.53,2.29,2.07,4.6,4.41,0,3.69,1.28,2.37,1.44,0,0,0,0,1.3,0,0,0,0,0,0
Martinique ,19.6,19.44,2.87,0,1.36,0,13.7,20.16,0,7.39,0,2.65,9.46,1.47,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,6.21,40.55,0,0,1.23,0,8.12,12.65,0,17.67,0,1.19,10.4,0,0,0,0,0,0,0,0,0,0,0
Grenada ,28.63,20.35,5.63,0,1.6,0,9.63,16.48,0,7.02,0,1.37,5.4,0,0,0,0,0,0,0,0,0,0,0
